,course_code,course_name,section_number,course_type,course_hours,course_gender,course_day,course_time,final_exam_day,final_exam_date,final_exam_time,lecturer
0,254 ريض,الطرائق العددية,5582,محاضرة,3,ذكر,['1 3 5'],['  08:00 ص - 09:05 ص'],5,1444-12-04,01:00 م - 04:00 م,['رضوان بوت']
0,254 ريض,الطرائق العددية,20499,تمارين,ذكر,مفتوحة,"['1', '1']","['  06:30 م - 07:35 م', '  07:45 م - 08:50 م']",---,---,---,['لم يحدد من الكلية']
0,254 ريض,الطرائق العددية,81601,محاضرة,3,ذكر,['1 3 5'],['  09:15 ص - 10:20 ص'],5,1444-12-04,01:00 م - 04:00 م,['رضوان بوت']
0,254 ريض,الطرائق العددية,81602,تمارين,ذكر,مفتوحة,"['1', '1']","['  01:30 م - 02:35 م', '  02:45 م - 03:50 م']",---,---,---,['لم يحدد من الكلية']
0,254 ريض,الطرائق العددية,81603,محاضرة,3,ذكر,['1 3 5'],['  10:30 ص - 11:35 ص'],5,1444-12-04,01:00 م - 04:00 م,['محمد بن حمده عبدالواحد']
0,254 ريض,الطرائق العددية,81604,تمارين,ذكر,مفتوحة,"['5', '5']","['  01:30 م - 02:35 م', '  02:45 م - 03:50 م']",---,---,---,['لم يحدد من الكلية']
0,254 ريض,الطرائق العددية,82438,محاضرة,3,ذكر,"['2', '2', '4']","['  08:00 ص - 09:05 ص', '  09:15 ص - 10:20 ص', '  09:15 ص - 10:20 ص']",5,1444-12-04,01:00 م - 04:00 م,['عبدالرحمن مساعد سعيد الزهرانى']
0,254 ريض,الطرائق العددية,82439,تمارين,ذكر,مفتوحة,"['3', '3']","['  04:00 م - 05:05 م', '  05:15 م - 06:20 م']",---,---,---,['لم يحدد من الكلية']
0,254 ريض,الطرائق العددية,82440,محاضرة,3,ذكر,"['2 4', '2']","['  10:30 ص - 11:35 ص', '  11:45 ص - 12:50 م']",5,1444-12-04,01:00 م - 04:00 م,['شاه محمد ديل كبير']
0,254 ريض,الطرائق العددية,82441,تمارين,ذكر,مفتوحة,"['3', '3']","['  04:00 م - 05:05 م', '  05:15 م - 06:20 م']",---,---,---,['لم يحدد من الكلية']
0,254 ريض,الطرائق العددية,82442,محاضرة,3,ذكر,['1 3 5'],['  11:45 ص - 12:50 م'],5,1444-12-04,01:00 م - 04:00 م,['محمد بن حمده عبدالواحد']
0,254 ريض,الطرائق العددية,82443,تمارين,ذكر,مفتوحة,"['3', '3']","['  04:00 م - 05:05 م', '  05:15 م - 06:20 م']",---,---,---,['لم يحدد من الكلية']
0,254 ريض,الطرائق العددية,82734,محاضرة,3,ذكر,['1 3 5'],['  02:45 م - 03:50 م'],5,1444-12-04,01:00 م - 04:00 م,['رضوان بوت']
0,254 ريض,الطرائق العددية,82735,تمارين,ذكر,مفتوحة,"['4', '4']","['  04:00 م - 05:05 م', '  05:15 م - 06:20 م']",---,---,---,['لم يحدد من الكلية']
0,254 ريض,الطرائق العددية,87118,محاضرة,3,ذكر,['1 3 5'],['  10:30 ص - 11:35 ص'],5,1444-12-04,01:00 م - 04:00 م,['رضوان بوت']
0,254 ريض,الطرائق العددية,87119,تمارين,ذكر,مفتوحة,"['5', '5']","['  01:30 م - 02:35 م', '  02:45 م - 03:50 م']",---,---,---,['لم يحدد من الكلية']
0,227 عال,نظم التشغيل,12320,محاضرة,3,ذكر,"['2', '2 4']","['  08:00 ص - 09:05 ص', '  09:15 ص - 10:20 ص']",3,1444-11-24,01:00 م - 04:00 م,['مجدل سلطان مجدل بن سفران']
0,227 عال,نظم التشغيل,12321,تمارين,ذكر,مفتوحة,['4'],['  08:00 ص - 09:05 ص'],---,---,---,['مجدل سلطان مجدل بن سفران']
0,227 عال,نظم التشغيل,12328,محاضرة,3,ذكر,"['1', '1 3']","['  08:00 ص - 09:05 ص', '  09:15 ص - 10:20 ص']",3,1444-11-24,01:00 م - 04:00 م,['محمد جاويد يوسف']
0,227 عال,نظم التشغيل,12329,تمارين,ذكر,مفتوحة,['3'],['  08:00 ص - 09:05 ص'],---,---,---,['محمد جاويد يوسف']
0,227 عال,نظم التشغيل,35605,محاضرة,3,ذكر,"['4', '2 4']","['  08:00 ص - 09:05 ص', '  09:15 ص - 10:20 ص']",3,1444-11-24,01:00 م - 04:00 م,['فواز عبدالعزيز عبدالله السليمان']
0,227 عال,نظم التشغيل,35606,تمارين,ذكر,مفتوحة,['2'],['  08:00 ص - 09:05 ص'],---,---,---,['محمد جاويد يوسف']
0,227 عال,نظم التشغيل,81787,محاضرة,3,ذكر,['1 3 5'],['  09:15 ص - 10:20 ص'],3,1444-11-24,01:00 م - 04:00 م,['لم يحدد من الكلية']
0,227 عال,نظم التشغيل,81788,تمارين,ذكر,مغلقة,['3'],['  11:45 ص - 12:50 م'],---,---,---,['لم يحدد من الكلية']
0,227 عال,نظم التشغيل,81901,محاضرة,3,ذكر,"['2', '2 4']","['  10:30 ص - 11:35 ص', '  11:45 ص - 12:50 م']",3,1444-11-24,01:00 م - 04:00 م,['فواز عبدالعزيز عبدالله السليمان']
